date,region_key,PM10_avg,PM25_avg,ws_avg,ta_avg,hm_avg,pa_avg,rn_day,month,season,dayofweek,PM25_lag1,PM25_lag7
2023-05-18,경기,34.91135248773651,17.635527246992215,2.1,20.5,70.3,1006.1,1.1,5,1,3,15.50475854776172,27.201899402040098
2023-05-19,경기,24.72641509433962,12.996137640449438,1.7,20.9,63.5,1004.7,11.394455994455992,5,1,4,17.635527246992215,29.89051094890511
2023-05-20,경기,27.19139566395664,15.26362098138748,2.5,20.0,70.4,1005.9,11.394455994455992,5,1,5,12.996137640449438,23.01329696556427
2023-05-21,경기,78.48440677966101,21.6656462585034,2.4,17.0,76.5,1005.5,0.0,5,1,6,15.26362098138748,14.695725915875169
2023-05-22,경기,136.12625043118317,31.417822468793343,1.6,18.6,65.5,1003.9,11.394455994455992,5,1,0,21.6656462585034,21.215309332401258
2023-05-23,경기,65.97548161120841,18.96048951048951,1.7,18.5,60.8,1006.0,11.394455994455992,5,1,1,31.417822468793343,30.337899543378995
2023-05-24,경기,42.57012622720897,18.146727656579873,1.4,18.9,55.4,1009.9,11.394455994455992,5,1,2,18.96048951048951,15.50475854776172
2023-05-25,경기,36.74673987645848,15.289790305947061,1.9,20.2,49.8,1011.7,11.394455994455992,5,1,3,18.146727656579873,17.635527246992215
2023-05-26,경기,34.39611054247697,14.8,2.0,20.6,56.1,1013.6,0.0,5,1,4,15.289790305947061,12.996137640449438
2023-05-27,경기,30.736345246122724,17.382303275920297,1.4,18.9,90.0,1012.8,14.2,5,1,5,14.8,15.26362098138748
2023-05-28,경기,10.989163562478835,6.26566757493188,1.3,19.1,97.6,1008.1,40.4,5,1,6,17.382303275920297,21.6656462585034
2023-05-29,경기,15.42000673627484,7.499829758256724,1.0,21.8,86.6,1005.8,6.7,5,1,0,6.26566757493188,31.417822468793343
2023-05-30,경기,32.94979224376731,16.01890756302521,1.7,22.4,79.1,1005.5,0.0,5,1,1,7.499829758256724,18.96048951048951
2023-05-31,경기,27.4766516776202,12.401110340041638,2.5,21.8,61.5,1006.0,11.394455994455992,5,1,2,16.01890756302521,18.146727656579873
2023-06-01,경기,41.888010992785986,23.49137931034483,1.5,21.7,71.6,1001.5,11.394455994455992,6,2,3,12.401110340041638,15.289790305947061
2023-06-02,경기,34.97870879120879,19.165810208975678,2.0,18.8,82.8,998.6,11.394455994455992,6,2,4,23.49137931034483,14.8
2023-06-03,경기,35.55731625084289,14.660942760942762,2.2,20.3,62.9,1004.0,11.394455994455992,6,2,5,19.165810208975678,17.382303275920297
2023-06-04,경기,38.37795807978364,19.256738544474395,1.8,20.6,65.9,1006.3,11.394455994455992,6,2,6,14.660942760942762,6.26566757493188
2023-06-05,경기,32.05837651122625,15.793711126468555,2.4,20.0,71.0,1006.8,11.394455994455992,6,2,0,19.256738544474395,7.499829758256724
2023-06-06,경기,21.34085550690468,11.157181571815718,2.0,19.5,73.0,1003.4,11.394455994455992,6,2,1,15.793711126468555,16.01890756302521
2023-06-07,경기,35.2825266048747,19.24241379310345,2.1,21.0,73.8,1004.1,11.394455994455992,6,2,2,11.157181571815718,12.401110340041638
2023-06-08,경기,23.224652777777777,12.476472638550018,2.0,20.2,79.0,1000.3,0.0,6,2,3,19.24241379310345,23.49137931034483
2023-06-09,경기,27.39866760168303,14.617157036511875,1.8,22.7,65.4,999.0,2.8,6,2,4,12.476472638550018,19.165810208975678
2023-06-10,경기,34.938404577583306,20.307404891304348,2.1,23.1,65.9,1000.3,0.0,6,2,5,14.617157036511875,14.660942760942762
2023-06-11,경기,24.046362098138747,14.531399317406143,2.2,22.2,71.8,1000.8,0.0,6,2,6,20.307404891304348,19.256738544474395
2023-06-12,경기,32.91927453769559,19.32170818505338,1.5,21.1,74.5,1001.3,0.0,6,2,0,14.531399317406143,15.793711126468555
2023-06-13,경기,28.698172874209416,16.464121597737716,2.1,21.1,71.8,1000.1,11.394455994455992,6,2,1,19.32170818505338,11.157181571815718
2023-06-14,경기,31.45492371705964,19.557531380753137,2.0,20.8,74.3,1001.6,11.394455994455992,6,2,2,16.464121597737716,19.24241379310345
